TSDate,serieNames,sales
2014-07-02,serie_1,2887.0
2014-07-02,serie_2,1069.0
2014-07-03,serie_1,2779.0
2014-07-03,serie_2,1013.0
2014-07-04,serie_1,2289.0
2014-07-04,serie_2,824.0
2014-07-05,serie_1,1081.0
2014-07-05,serie_2,375.0
2014-07-06,serie_1,2639.0
2014-07-06,serie_2,975.0
2014-07-07,serie_1,3713.0
2014-07-07,serie_2,1355.0
2014-07-08,serie_1,3070.0
2014-07-08,serie_2,1082.0
2014-07-09,serie_1,3261.0
2014-07-09,serie_2,1290.0
2014-07-10,serie_1,2950.0
2014-07-10,serie_2,1111.0
2014-07-11,serie_1,2362.0
2014-07-11,serie_2,895.0
2014-07-12,serie_1,269.0
2014-07-12,serie_2,141.0
2014-07-13,serie_1,3280.0
2014-07-13,serie_2,1302.0
2014-07-14,serie_1,3857.0
2014-07-14,serie_2,1382.0
2014-07-15,serie_1,3043.0
2014-07-15,serie_2,1112.0
2014-07-16,serie_1,3184.0
2014-07-16,serie_2,1131.0
2014-07-17,serie_1,3001.0
2014-07-17,serie_2,1038.0
2014-07-18,serie_1,2394.0
2014-07-18,serie_2,849.0
2014-07-19,serie_1,191.0
2014-07-19,serie_2,131.0
2014-07-20,serie_1,3470.0
2014-07-20,serie_2,1291.0
2014-07-21,serie_1,3368.0
2014-07-21,serie_2,1174.0
2014-07-22,serie_1,2647.0
2014-07-22,serie_2,876.0
2014-07-23,serie_1,3148.0
2014-07-23,serie_2,1089.0
2014-07-24,serie_1,2757.0
2014-07-24,serie_2,921.0
2014-07-25,serie_1,2295.0
2014-07-25,serie_2,750.0
2014-07-26,serie_1,568.0
2014-07-26,serie_2,179.0
2014-07-27,serie_1,2985.0
2014-07-27,serie_2,1013.0
2014-07-28,serie_1,3476.0
2014-07-28,serie_2,1131.0
2014-07-29,serie_1,2975.0
2014-07-29,serie_2,992.0
2014-07-30,serie_1,3235.0
2014-07-30,serie_2,1129.0
2014-07-31,serie_1,3162.0
2014-07-31,serie_2,1055.0
2014-08-01,serie_1,2630.0
2014-08-01,serie_2,888.0
2014-08-02,serie_1,36.0
2014-08-02,serie_2,77.0
2014-08-03,serie_1,3298.0
2014-08-03,serie_2,1159.0
2014-08-04,serie_1,3737.0
2014-08-04,serie_2,1295.0
2014-08-05,serie_1,3177.0
2014-08-05,serie_2,1032.0
2014-08-06,serie_1,3211.0
2014-08-06,serie_2,1097.0
2014-08-07,serie_1,3123.0
2014-08-07,serie_2,1098.0
2014-08-08,serie_1,2580.0
2014-08-08,serie_2,887.0
2014-08-09,serie_1,476.0
2014-08-09,serie_2,126.0
2014-08-10,serie_1,3355.0
2014-08-10,serie_2,1166.0
2014-08-11,serie_1,3977.0
2014-08-11,serie_2,1244.0
2014-08-12,serie_1,3353.0
2014-08-12,serie_2,1213.0
2014-08-13,serie_1,3297.0
2014-08-13,serie_2,1142.0
2014-08-14,serie_1,3279.0
2014-08-14,serie_2,1078.0
2014-08-15,serie_1,2553.0
2014-08-15,serie_2,840.0
2014-08-16,serie_1,220.0
2014-08-16,serie_2,59.0
2014-08-17,serie_1,3659.0
2014-08-17,serie_2,1167.0
2014-08-18,serie_1,3851.0
2014-08-18,serie_2,1335.0
2014-08-19,serie_1,3319.0
2014-08-19,serie_2,1092.0
2014-08-20,serie_1,3388.0
2014-08-20,serie_2,1098.0
2014-08-21,serie_1,3141.0
2014-08-21,serie_2,1001.0
2014-08-22,serie_1,2551.0
2014-08-22,serie_2,826.0
2014-08-23,serie_1,831.0
2014-08-23,serie_2,280.0
2014-08-24,serie_1,4118.0
2014-08-24,serie_2,1290.0
2014-08-25,serie_1,4155.0
2014-08-25,serie_2,1383.0
